3	6	23	52	37	14	3
10	23	61	144	97	40	3
19	33	88	210	145	59	3
20	41	110	264	183	73	3
26	54	129	311	220	88	3
27	61	148	353	248	98	3
33	61	156	378	265	105	3
33	68	164	400	280	107	3
33	68	177	415	291	113	3
40	68	177	429	299	120	3
40	69	184	438	305	121	3
40	75	184	451	312	127	3
40	75	194	453	320	127	3
40	82	194	461	320	127	3
40	82	194	462	322	127	3
40	82	201	476	335	127	3
40	82	201	476	335	127	3
40	82	201	478	335	127	3
40	82	201	484	342	134	3
40	82	201	471	330	134	3
40	82	191	457	324	126	3
40	72	182	427	308	126	3
32	69	161	384	281	111	3
32	53	132	308	232	91	3
18	32	76	179	127	51	3
4	6	18	39	29	9	3
4	0	7	8	7	1	3
