0	8	7	27	79	45	2
0	8	19	47	136	80	2
8	8	24	64	185	109	2
8	15	32	83	241	139	2
15	15	50	103	305	176	2
15	22	50	119	355	204	2
15	22	57	137	404	235	2
15	22	64	153	440	259	2
15	29	64	160	468	279	2
15	29	72	168	496	296	2
15	29	72	174	513	309	2
15	29	80	181	534	317	2
15	37	80	188	552	331	2
15	37	80	194	568	339	2
16	37	87	200	583	354	2
22	37	87	201	599	361	2
22	37	87	210	607	366	2
22	37	87	210	616	370	2
22	37	87	217	622	379	2
22	38	94	217	629	379	2
22	44	94	217	629	379	2
22	44	94	217	615	377	2
22	44	94	206	599	368	2
22	44	92	206	589	368	2
22	44	86	206	582	358	2
22	44	86	204	571	358	2
22	44	86	198	558	353	2
22	35	86	189	543	339	2
22	35	78	189	528	339	2
22	35	78	181	522	331	2
22	35	78	181	503	319	2
22	35	76	179	496	317	2
22	35	70	173	488	311	2
22	35	70	173	478	311	2
22	35	70	173	479	311	2
22	35	70	173	491	311	2
22	35	77	179	517	321	2
22	35	77	190	557	344	2
22	35	84	199	582	362	2
22	35	85	211	606	380	2
22	35	91	216	630	393	2
22	42	91	222	640	393	2
22	42	91	223	653	397	2
22	42	91	229	660	403	2
22	42	98	229	660	403	2
22	42	98	229	651	403	2
22	42	98	229	641	403	2
22	42	98	226	638	400	2
22	42	89	217	622	393	2
22	42	89	217	620	390	2
22	42	89	208	608	382	2
22	42	89	208	602	382	2
22	42	89	208	610	382	2
22	42	89	208	604	380	2
22	42	89	208	597	375	2
22	42	89	208	617	384	2
22	42	89	212	618	384	2
22	42	89	221	625	386	2
22	42	89	221	635	392	2
22	42	96	228	659	407	2
22	42	96	228	668	407	2
22	42	96	228	655	407	2
22	42	96	228	637	397	2
22	42	94	215	613	378	2
22	42	88	203	583	363	2
22	34	79	187	529	340	2
22	31	61	151	425	289	2
13	22	44	107	306	208	2
11	12	27	66	184	124	2
1	-2	6	3	14	12	2
