1	9	12	28	25	16	3	6
16	33	74	132	140	75	34	6
16	47	96	177	181	96	49	6
23	51	117	214	220	115	51	6
30	61	138	250	262	133	65	6
30	61	150	267	283	142	65	6
30	68	158	280	295	150	73	6
37	68	164	287	295	157	81	6
37	68	164	294	308	157	81	6
37	68	164	294	306	157	73	6
37	68	164	285	300	157	73	6
37	68	153	274	285	151	73	6
35	62	140	252	264	132	67	6
29	53	125	220	228	116	52	6
21	38	100	179	188	97	52	6
8	20	55	102	110	54	27	6
8	11	33	65	64	30	14	6
8	11	24	39	41	22	14	6
8	11	16	24	30	16	5	6
0	3	4	17	17	8	5	6
0	3	4	8	8	8	-2	6
0	3	0	-1	-2	0	-2	6
