19	57	27	11	4	0	-2	5
53	139	74	25	11	6	-2	5
71	182	95	36	11	6	9	5
83	224	119	43	21	6	0	5
102	262	139	53	21	13	0	5
108	287	152	60	28	13	0	5
116	315	164	60	28	13	8	5
122	332	176	70	28	13	8	5
122	345	176	70	28	13	8	5
129	352	184	70	28	13	8	5
129	352	184	70	28	13	8	5
129	352	184	70	28	13	8	5
129	340	182	70	28	13	8	5
129	338	176	70	28	13	8	5
129	332	176	70	28	13	8	5
118	327	174	70	28	13	8	5
118	321	168	62	28	13	8	5
118	307	160	62	28	13	8	5
118	295	160	62	28	13	2	5
111	282	148	62	28	13	10	5
95	247	131	48	28	13	10	5
71	189	102	36	15	13	7	5
40	110	60	20	12	5	0	5
12	46	24	8	5	5	0	5
5	16	4	8	-2	5	0	5
-3	2	4	6	-2	5	0	5
