9	17	36	81	133	95	44	6
9	24	46	103	167	118	65	6
16	24	61	126	206	143	69	6
16	31	71	151	246	171	82	6
16	32	81	170	280	193	90	6
16	38	89	195	314	215	108	6
24	40	95	203	335	228	116	6
24	46	95	210	344	240	116	6
24	46	102	210	350	240	116	6
24	46	102	210	342	240	116	6
24	46	94	198	329	230	108	6
24	46	86	189	308	221	108	6
24	38	86	174	291	201	104	6
24	38	71	162	265	183	95	6
16	38	71	145	240	168	81	6
16	26	60	122	213	145	70	6
16	26	51	109	182	128	62	6
16	17	38	81	138	95	40	6
5	15	26	52	91	62	29	6
5	9	12	29	49	36	19	6
5	9	12	14	22	16	4	6
5	9	4	11	14	16	4	6
5	0	4	5	12	8	4	6
5	0	4	5	6	6	-3	6
