7	7	16	35	23	6	3
14	29	62	147	99	40	3
14	36	91	217	148	60	3
24	44	119	283	192	77	3
31	54	144	338	228	89	3
31	64	166	383	259	108	3
31	72	171	416	280	109	3
39	72	182	432	294	115	3
39	79	187	450	309	119	3
39	79	196	468	318	125	3
39	79	208	483	325	125	3
39	79	208	491	335	126	3
39	79	208	497	335	132	3
39	90	208	497	342	132	3
39	90	208	497	342	132	3
39	90	208	497	342	132	3
39	90	208	497	342	132	3
39	90	218	517	343	139	3
40	90	218	533	352	139	3
46	90	225	533	359	139	3
46	90	225	540	359	139	3
46	90	225	540	359	139	3
46	90	232	544	367	149	3
46	90	232	554	367	149	3
46	90	232	561	374	149	3
46	97	232	561	374	149	3
46	97	232	561	374	149	3
46	97	232	561	374	149	3
46	97	232	553	374	149	3
46	97	232	544	366	149	3
46	94	224	535	357	149	3
46	88	224	535	357	149	3
46	88	224	535	357	141	3
46	88	224	535	357	141	3
46	88	224	532	355	141	3
46	88	214	505	336	138	3
38	80	189	456	306	123	3
36	64	149	360	243	100	3
21	41	103	249	169	70	3
21	35	72	173	119	50	3
13	29	50	123	84	36	3
13	17	28	77	48	21	3
2	4	3	15	5	1	3
