8	18	43	97	64	28	18	3
14	28	75	175	113	47	25	3
21	42	102	246	157	66	29	3
23	52	126	304	193	84	44	3
29	61	142	346	214	84	44	3
29	61	153	367	231	96	44	3
29	61	161	382	239	96	51	3
29	68	161	391	248	97	51	3
29	68	168	399	253	103	51	3
29	68	168	408	262	103	51	3
29	68	168	408	262	103	51	3
29	68	168	405	259	103	51	3
29	68	159	375	242	100	51	3
29	58	137	323	212	87	42	3
21	40	111	264	174	72	35	3
21	40	90	213	143	60	27	3
21	40	79	181	119	50	25	3
12	31	79	173	119	50	19	3
12	31	79	173	117	50	19	3
12	31	62	158	105	47	19	3
12	23	44	111	75	33	19	3
4	12	19	55	36	16	6	3
4	6	9	14	12	6	6	3
