0	1	2	8	13	28	10	6
0	11	16	43	101	162	104	6
7	18	28	67	157	241	161	6
7	18	34	89	196	305	204	6
7	18	42	95	223	346	226	6
7	18	42	99	233	368	248	6
8	18	42	106	241	375	248	6
14	18	42	106	241	375	248	6
14	18	42	106	241	375	248	6
14	18	42	103	229	358	232	6
14	18	42	97	213	345	225	6
14	18	40	84	203	322	207	6
14	18	34	84	194	308	197	6
14	18	34	81	174	288	197	6
14	18	34	67	155	254	169	6
12	18	26	56	125	208	138	6
6	10	21	44	94	158	103	6
6	10	7	18	47	89	56	6
6	0	7	10	22	46	29	6
6	0	7	-1	2	13	6	6
6	0	0	-3	-16	-19	-16	6
