19	39	126	55	22	11	0	4
19	58	169	76	31	11	12	4
30	63	211	92	43	18	12	4
30	75	243	107	43	18	12	4
38	84	268	123	50	18	12	4
38	88	285	127	50	25	12	4
46	94	302	135	60	25	20	4
46	101	323	145	60	25	20	4
46	108	340	151	68	25	17	4
53	109	349	165	68	25	16	4
53	115	355	165	68	25	25	4
53	115	366	165	68	25	15	4
53	115	366	165	76	25	15	4
54	115	371	175	76	34	23	4
60	115	377	175	76	34	12	4
60	115	369	175	76	34	12	4
52	115	351	167	76	34	12	4
52	107	324	159	66	34	18	4
46	90	272	133	59	26	9	4
30	60	182	91	38	15	12	4
15	30	92	48	19	15	6	4
3	14	33	22	4	4	-1	4
3	6	0	10	4	4	-1	4
