9	16	52	23	11	4	6	4
17	44	148	62	25	8	6	4
31	61	204	82	38	14	7	4
32	75	253	102	48	14	13	4
38	86	280	115	49	22	13	4
45	99	312	126	55	22	13	4
47	108	355	147	64	24	15	4
61	131	416	175	76	33	21	4
70	153	495	210	92	38	21	4
78	181	577	248	113	45	21	4
90	203	648	275	118	52	28	4
96	218	704	296	134	52	28	4
111	241	778	322	141	59	28	4
118	260	834	345	147	66	30	4
125	279	882	366	161	66	38	4
125	285	916	381	162	66	38	4
129	295	949	399	169	67	38	4
135	302	963	406	175	73	38	4
135	302	970	413	175	73	38	4
135	302	970	413	175	73	38	4
135	302	957	413	175	73	45	4
133	293	922	398	175	73	43	4
125	280	881	383	165	73	37	4
116	265	832	364	151	64	37	4
103	234	733	321	136	64	37	4
83	184	576	252	106	42	25	4
57	130	392	176	73	31	11	4
32	77	223	108	43	22	11	4
10	36	111	58	20	7	3	4
10	21	46	27	9	7	3	4
1	7	7	10	-2	7	3	4
