1	11	13	34	74	92	51	6
7	12	28	64	137	171	101	6
14	18	30	84	172	216	121	6
14	18	36	91	195	247	143	6
14	19	37	97	214	275	163	6
14	25	43	104	226	286	170	6
14	25	43	104	226	286	171	6
14	25	43	104	226	293	177	6
14	25	43	102	218	276	167	6
14	25	43	96	206	261	150	6
14	23	40	87	192	240	139	6
14	17	32	79	176	223	128	6
14	17	32	79	170	208	128	6
14	17	32	79	162	202	115	6
6	17	24	68	141	178	106	6
6	14	24	50	110	140	81	6
6	8	12	32	66	91	46	6
6	8	10	11	31	46	23	6
-2	8	1	11	13	21	5	6
-2	0	1	3	7	9	-3	6
-2	0	1	3	0	2	-3	6
