4	8	8	11	23	30	11	6
4	9	27	56	121	128	69	6
12	18	35	82	171	181	96	6
12	18	41	101	219	233	123	6
12	25	52	118	259	274	144	6
12	25	60	136	292	306	157	6
12	25	60	145	316	335	175	6
12	33	67	155	329	353	194	6
19	33	67	155	335	353	194	6
19	33	67	155	335	354	194	6
19	33	67	155	342	360	194	6
19	33	67	163	342	360	194	6
19	33	67	160	332	357	191	6
19	31	61	138	294	317	164	6
19	25	51	115	250	273	143	6
9	14	35	83	178	194	99	6
9	14	29	57	131	147	78	6
9	14	23	57	119	132	68	6
9	14	23	57	119	123	60	6
9	14	23	57	111	123	67	6
9	14	23	57	111	123	67	6
9	14	20	40	90	100	54	6
9	14	13	19	48	56	28	6
1	3	5	8	14	18	5	6
1	3	5	2	-1	0	-5	6
