5	2	8	12	20	14	2
5	9	15	42	120	62	2
5	9	29	67	196	110	2
5	16	39	93	283	162	2
12	22	52	125	365	210	2
12	22	59	140	414	240	2
13	31	67	162	477	276	2
19	31	75	180	532	310	2
19	38	83	199	574	340	2
19	38	83	209	608	358	2
19	38	94	217	633	377	2
26	38	94	224	656	384	2
26	39	94	232	669	391	2
26	45	94	232	675	398	2
26	45	101	232	675	398	2
26	45	101	232	675	406	2
26	45	101	232	675	406	2
26	45	101	232	667	406	2
26	45	101	233	680	407	2
26	45	101	242	690	416	2
26	45	101	242	704	416	2
26	45	101	244	713	421	2
26	45	108	250	733	435	2
26	45	108	250	735	435	2
26	45	108	257	743	442	2
26	45	108	257	756	452	2
26	45	115	264	763	453	2
26	45	115	264	763	459	2
26	45	115	264	770	466	2
26	52	115	271	775	467	2
26	52	115	271	782	473	2
26	52	115	271	782	473	2
26	52	115	271	791	473	2
26	52	115	272	797	481	2
26	52	115	278	797	481	2
26	52	115	278	795	481	2
26	52	115	275	782	470	2
26	52	112	258	742	452	2
26	44	103	234	665	416	2
26	44	88	206	583	369	2
26	36	76	180	506	322	2
18	31	58	138	383	247	2
18	25	45	105	294	194	2
18	17	36	86	234	156	2
8	17	33	71	188	126	2
8	9	21	56	143	99	2
8	9	21	38	104	73	2
8	9	9	27	65	47	2
8	9	9	8	21	22	2
8	0	1	8	2	14	2
