20	41	94	65	33	17	11	6
33	74	166	116	61	24	18	6
46	97	213	149	77	37	18	6
56	115	248	171	87	37	18	6
63	122	275	184	95	39	18	6
63	134	292	195	102	45	18	6
63	134	301	202	102	45	26	6
63	134	295	202	102	45	26	6
63	134	295	202	102	45	26	6
64	141	297	210	109	45	26	6
70	141	303	210	109	45	26	6
70	141	301	208	109	45	26	6
70	139	292	200	107	45	26	6
68	130	271	185	101	45	26	6
59	113	241	166	88	45	21	6
46	97	201	141	74	37	15	6
35	70	153	107	54	25	15	6
26	46	100	68	35	14	7	6
15	25	54	37	18	5	5	6
4	3	13	8	2	5	0	6
4	3	4	2	2	5	0	6
