10	31	19	7	5	3	10	5
56	151	86	33	13	3	6	5
81	207	118	45	21	3	12	5
96	245	140	54	21	11	4	5
115	295	169	65	31	11	5	5
129	337	197	77	31	11	11	5
143	370	205	77	33	18	11	5
151	399	223	84	41	18	11	5
157	418	229	91	41	18	11	5
157	418	229	91	41	18	9	5
157	418	236	91	41	18	4	5
157	416	236	91	41	18	10	5
154	400	226	86	41	18	10	5
133	353	197	77	35	18	10	5
111	296	163	64	29	10	10	5
88	228	128	48	21	10	2	5
61	172	97	40	21	10	9	5
55	142	85	34	21	10	9	5
46	122	69	26	13	10	1	5
27	86	48	15	13	1	1	5
20	53	30	12	4	1	1	5
13	25	13	5	4	1	1	5
2	7	5	5	4	1	1	5
